datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21
26.09.2021;Wahl zum Deutschen Bundestag;03159016;261;261 BW-Geismar 1;1;1;0;0;0;0;371;371;4;367;2;369;84;60;121;134;16;20;0;14;110;100;28;25;0;5;0;6;0;0;0;0;0;0;0;0;0;1;0;0;1;1;6;2;0;0;1;0;0;1;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;03159016;262;262 BW-Geismar 2;1;1;0;0;0;0;563;563;3;560;3;560;135;103;145;162;44;52;0;17;209;185;23;21;0;7;0;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;4
26.09.2021;Wahl zum Deutschen Bundestag;03159016;263;263 BW-Geismar 3;1;1;0;0;0;0;508;508;4;504;0;508;150;102;130;166;37;57;0;18;158;121;21;25;0;7;0;2;0;3;0;2;0;0;0;0;0;0;0;0;0;0;7;2;0;0;1;0;0;0;0;1;0;2
26.09.2021;Wahl zum Deutschen Bundestag;03159016;264;264 BW-Geismar 4;1;1;0;0;0;0;577;577;5;572;3;574;204;168;168;206;39;46;0;11;137;112;18;18;0;2;0;6;0;1;0;1;0;0;0;0;0;2;0;0;0;0;3;0;0;0;3;0;0;0;0;1;0;0
26.09.2021;Wahl zum Deutschen Bundestag;03159016;265;265 BW-Geismar 5;1;1;0;0;0;0;491;491;0;491;1;490;99;91;127;141;30;29;0;12;195;158;29;39;0;2;0;6;0;1;0;2;0;0;0;0;0;0;0;0;2;0;6;3;0;1;3;0;0;0;0;0;0;5
26.09.2021;Wahl zum Deutschen Bundestag;03159016;266;266 BW-Geismar 6;1;1;0;0;0;0;527;527;2;525;0;527;162;117;106;130;54;67;0;17;163;146;30;34;0;7;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;0;2;0;0;0;0;0;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;267;267 BW-Geismar 7;1;1;0;0;0;0;545;545;5;540;2;543;122;100;142;156;37;34;0;6;213;202;22;22;0;3;0;6;0;3;0;2;0;0;0;0;0;0;0;0;0;0;3;4;0;1;1;1;0;1;0;0;0;2
26.09.2021;Wahl zum Deutschen Bundestag;03159016;268;268 BW-Geismar 8;1;1;0;0;0;0;587;587;0;587;0;587;169;138;158;185;35;38;0;14;193;163;25;28;0;4;0;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;5;4;0;3;2;1;0;2;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;03159016;269;269 BW-Geismar 9;1;1;0;0;0;0;399;399;3;396;3;396;78;67;136;144;36;33;0;13;106;89;29;18;0;9;0;6;0;6;0;2;0;1;0;0;0;1;1;0;1;1;8;4;0;0;1;0;0;0;0;0;0;2
26.09.2021;Wahl zum Deutschen Bundestag;03159016;270;270 BW-Danziger Straße (1);1;1;0;0;0;0;526;526;3;523;2;524;72;58;128;121;26;28;0;11;247;231;45;52;0;3;0;5;0;1;0;1;0;0;0;2;0;0;0;0;0;0;5;4;0;0;0;0;0;1;0;0;0;6
26.09.2021;Wahl zum Deutschen Bundestag;03159016;271;271 BW-Stegemühlenweg;1;1;0;0;0;0;474;474;5;469;0;474;66;57;137;157;28;23;0;8;198;163;30;38;0;4;0;7;0;1;0;0;0;0;0;2;0;1;0;0;0;0;8;7;0;2;2;0;0;0;0;1;0;3
26.09.2021;Wahl zum Deutschen Bundestag;03159016;272;272 BW-Danziger Straße (2);1;1;0;0;0;0;527;527;4;523;2;525;64;44;114;136;31;27;0;8;249;229;52;47;0;7;0;2;0;3;0;2;0;2;0;0;0;0;1;0;3;1;7;4;0;4;2;0;0;2;0;1;0;6
26.09.2021;Wahl zum Deutschen Bundestag;03159016;361;361 BW-Grone 1;1;1;0;0;0;0;275;275;0;275;1;274;77;65;102;106;31;32;0;11;44;35;16;11;0;2;0;5;0;0;0;2;0;0;0;2;0;0;0;0;1;0;4;1;0;0;0;0;0;0;0;0;0;2
26.09.2021;Wahl zum Deutschen Bundestag;03159016;362;362 BW-Grone 2;1;1;0;0;0;0;290;290;2;288;1;289;78;61;68;80;25;24;0;14;89;71;20;21;0;4;0;4;0;1;0;0;0;1;0;0;0;1;0;0;3;0;4;4;0;0;1;0;0;0;0;2;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;363;363 BW-Grone 3;1;1;0;0;0;0;240;240;3;237;1;239;57;54;98;95;19;11;0;14;55;46;4;9;0;2;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3;1;0;1;1;0;0;1;0;1;0;1
